# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
68.4               6.528       6.528       6.555    -0.02618  -0.0001354  -0.0004362    0.004356
68.6               6.515       6.515       6.536    -0.02068  -9.698e-05  -0.0002467   0.0008687
68.8               6.496       6.496       6.517    -0.02049   3.671e-05  -7.349e-05  -0.0002047
69                 6.476       6.476       6.498    -0.02173  -0.0002348  -0.0001913    0.001729
69.2               6.459       6.459       6.479    -0.01955  -0.0002461  -0.0004309    0.001827
69.4               6.441       6.441       6.461     -0.0188  -9.516e-05  -0.0005396    0.003009
69.6                6.42       6.421       6.442    -0.02121   -9.47e-05  -0.0001336   -0.001753
69.8               6.405       6.405       6.424    -0.01755  -0.0001888  -0.0005086    0.003184
70                 6.384       6.384       6.405     -0.0204  -8.659e-05  -0.0006665    0.001112
70.2                6.37        6.37       6.387    -0.01657  -0.0002098  -0.0004646    -0.00127
70.4                6.35       6.351       6.369    -0.01793   1.286e-05  -0.0004191    0.000303
70.6               6.331       6.331       6.351    -0.01942  -7.666e-06  -0.0001001     0.00438
70.8               6.313       6.314       6.333    -0.01882   5.071e-05  -0.0004497    0.003211
71                 6.298       6.298       6.315    -0.01684   5.118e-05  -0.0002357  -0.0002722
71.2               6.279       6.279       6.297    -0.01808  -8.508e-05  -0.0004241  -0.0003915
71.4               6.263       6.263        6.28    -0.01577  -8.157e-05  -0.0004747   -0.003803
71.6               6.245       6.245       6.262    -0.01711  -0.0001264  -0.0001181    0.003034
71.8               6.228       6.228       6.245    -0.01582  -9.392e-05  -0.0003551   0.0004425
72                 6.212       6.212       6.227    -0.01509  -2.211e-05  -0.0003003    0.005227
72.2               6.191       6.191        6.21    -0.01845  -0.0001765  -0.0002078    0.002745
72.4               6.177       6.177       6.193     -0.0157   5.922e-05  -0.0002139   -0.004126
72.6               6.161       6.161       6.176    -0.01478  -0.0001089  -0.0002243    0.006118
72.8               6.147       6.147       6.159    -0.01104   -0.000192  -0.0003447    0.004007
73                 6.127       6.127       6.142     -0.0149   0.0001198  -0.0003878    0.002005
73.2               6.111       6.111       6.125    -0.01424   2.276e-05   0.0001792  -0.0008018
73.4               6.094       6.094       6.109    -0.01369  -0.0001051  -0.0003162  -0.0003834
73.6                6.08        6.08       6.092    -0.01168  -0.0001839  -0.0002759   0.0001821
73.8               6.062       6.062       6.075    -0.01315  -3.975e-05  -0.0002574    0.006609
74                 6.046       6.046       6.059    -0.01278  -0.0001849   -0.000216    0.005251
74.2               6.028       6.028       6.043    -0.01385  -1.179e-05  -0.0003152    0.001405
74.4               6.013       6.013       6.026    -0.01288   5.635e-05  -0.0001915  -0.0002197
74.6               5.997       5.997        6.01     -0.0127   9.167e-05   -0.000209    0.003011
74.8               5.983       5.983       5.994    -0.01105  -0.0002311  -2.531e-05   -0.001795
75                 5.965       5.965       5.978    -0.01301  -0.0001636  -0.0002289  -0.0001346
75.2               5.949       5.949       5.962    -0.01263   -0.000176   -0.000174    0.001149
75.4               5.935       5.935       5.946    -0.01115  -8.233e-05  -0.0002625   0.0002986
75.6               5.919       5.919       5.931    -0.01185  -9.404e-05  -8.861e-05    0.004145
75.8               5.904       5.904       5.915    -0.01085  -5.302e-05  -0.0001614    0.004451
76                  5.89        5.89         5.9     -0.0093  -0.0001181  -0.0001874    0.001625
76.2               5.872       5.872       5.884    -0.01215  -9.984e-05  -0.0001038    0.008512
76.4               5.858       5.858       5.869    -0.01065  -0.0001114   3.277e-05    0.002355
76.6               5.844       5.844       5.853    -0.00896  -0.0001584  -0.0003855     0.00304
76.8               5.827       5.827       5.838    -0.01079  -0.0001256  -0.0001249    0.002879
77                 5.811       5.811       5.823     -0.0117  -0.0001666   3.277e-05   -0.001116
77.2               5.796       5.796       5.808    -0.01182  -6.045e-05  -5.428e-05   0.0002091
77.4               5.781       5.781       5.793     -0.0121  -0.0001384   7.623e-05      0.0022
77.6               5.768       5.768       5.778   -0.009359  -9.478e-05   3.894e-05  -0.0001546
77.8               5.755       5.755       5.763   -0.007923  -6.526e-05  -0.0003074    0.003508
