# Multipolar energy analysis (kT)
# r/AA             exact       total      ionion      iondip      dipdip     ionquad     mucorr
65.2               5.888       5.888       6.877     -0.8339     -0.1552   1.322e-14    0.002861
65.4               5.903       5.903       6.856     -0.7985     -0.1547   1.313e-14    0.007221
65.6               5.873       5.873       6.835      -0.808     -0.1537   1.538e-14  -0.0001156
65.8               5.876       5.876       6.814     -0.7921     -0.1457   1.303e-14     0.00547
66                 5.857       5.857       6.793      -0.792     -0.1445   2.002e-14    0.002598
66.2               5.866       5.866       6.773     -0.7642      -0.143   1.145e-14    0.006067
66.4               5.863       5.863       6.752     -0.7443      -0.145   1.127e-14    0.004974
66.6               5.846       5.846       6.732     -0.7461     -0.1402    1.37e-14    0.005829
66.8               5.843       5.843       6.712     -0.7356      -0.133   1.229e-14    0.004627
67                 5.851       5.851       6.692     -0.7073      -0.134   1.225e-14    0.004297
67.2                5.83        5.83       6.672     -0.7142     -0.1275   1.226e-14    0.003195
67.4               5.816       5.816       6.652     -0.7029      -0.133   1.138e-14    0.003762
67.6               5.818       5.818       6.633     -0.6854     -0.1292   1.388e-14      0.0056
67.8               5.817       5.817       6.613     -0.6737     -0.1228   1.068e-14   0.0004379
68                 5.818       5.818       6.594     -0.6549     -0.1209   7.619e-15    0.004868
68.2               5.814       5.814       6.574     -0.6429      -0.117   1.156e-14    0.006027
68.4               5.795       5.795       6.555     -0.6377     -0.1223   1.251e-14     0.01318
68.6               5.775       5.775       6.536     -0.6446      -0.116   1.224e-14    0.004636
68.8               5.789       5.789       6.517     -0.6066     -0.1214   6.516e-15    0.008335
69                 5.776       5.776       6.498     -0.6124     -0.1098   8.352e-15     0.00344
69.2               5.769       5.769       6.479     -0.6044     -0.1062   7.647e-15    0.005991
69.4               5.761       5.761       6.461       -0.59     -0.1097    1.06e-14     0.01283
69.6                5.76        5.76       6.442     -0.5809     -0.1007   1.009e-14     0.01419
69.8               5.737       5.737       6.424     -0.5739     -0.1131   7.678e-15     0.01525
70                 5.755       5.755       6.405     -0.5447     -0.1054   1.052e-14     0.01257
70.2                5.73        5.73       6.387     -0.5643    -0.09272   8.066e-15     0.01068
70.4               5.732       5.732       6.369     -0.5385    -0.09847   7.288e-15    0.003509
70.6               5.718       5.718       6.351     -0.5374    -0.09508   8.265e-15    0.008647
70.8               5.702       5.702       6.333      -0.541    -0.08967   5.851e-15     0.01162
71                 5.687       5.687       6.315     -0.5367    -0.09124   6.762e-15    0.003526
71.2               5.686       5.686       6.297     -0.5213    -0.09028   6.166e-15    0.006888
71.4               5.667       5.667        6.28     -0.5213    -0.09103   8.462e-15    0.006279
71.6                5.66        5.66       6.262     -0.5117    -0.09073   8.031e-15     0.01476
71.8               5.659       5.659       6.245     -0.5003    -0.08532   4.616e-15    0.006681
72                 5.643       5.643       6.227     -0.4987    -0.08573    7.49e-15    0.007615
72.2               5.641       5.641        6.21     -0.4848    -0.08446   5.431e-15     0.01081
72.4               5.643       5.643       6.193     -0.4633    -0.08641   6.733e-15     0.01066
72.6               5.644       5.644       6.176     -0.4492     -0.0822   6.703e-15     0.01186
72.8               5.633       5.633       6.159     -0.4479    -0.07812   4.754e-15     0.01188
73                 5.618       5.618       6.142     -0.4407    -0.08347   6.791e-15    0.005029
73.2                5.61        5.61       6.125     -0.4366    -0.07811   3.298e-15    0.009501
73.4               5.605       5.605       6.109     -0.4304    -0.07323   3.149e-15     0.01473
73.6               5.585       5.585       6.092     -0.4334    -0.07384    5.08e-15    0.009097
73.8                5.57        5.57       6.075     -0.4307    -0.07444   3.436e-15     0.01482
74                 5.578       5.578       6.059     -0.4078    -0.07344   6.074e-15     0.01374
74.2               5.571       5.571       6.043     -0.4012    -0.07034   5.147e-15     0.01079
74.4               5.551       5.551       6.026     -0.4022    -0.07363   5.142e-15     0.01301
74.6               5.552       5.552        6.01     -0.3886    -0.06951   3.553e-15    0.009664
74.8               5.535       5.535       5.994     -0.3893    -0.06946   4.163e-15     0.01255
75                 5.549       5.549       5.978     -0.3613    -0.06813   5.579e-15     0.01071
75.2               5.532       5.532       5.962     -0.3608     -0.0698   3.685e-15     0.01011
75.4               5.504       5.504       5.946     -0.3732    -0.06938   4.883e-15    0.005354
75.6               5.502       5.502       5.931     -0.3636    -0.06511   4.677e-15     0.01311
75.8                5.49        5.49       5.915     -0.3582    -0.06651   5.443e-15     0.01215
76                 5.487       5.487         5.9      -0.351    -0.06182   4.714e-15     0.01233
76.2               5.468       5.468       5.884     -0.3563    -0.06004   4.045e-15    0.008794
76.4               5.469       5.469       5.869     -0.3386    -0.06095   5.365e-15     0.01467
76.6               5.445       5.445       5.853     -0.3494    -0.05892   5.657e-15    0.007955
76.8               5.461       5.461       5.838     -0.3214    -0.05568   2.498e-15     0.00866
77                 5.453       5.453       5.823     -0.3131    -0.05702   3.647e-15     0.01114
77.2               5.428       5.428       5.808      -0.324    -0.05592   4.354e-15    0.007901
77.4               5.443       5.443       5.793     -0.2938    -0.05628   4.717e-15   0.0007355
77.6                 5.4         5.4       5.778     -0.3219    -0.05641   4.124e-15    0.006352
77.8               5.419       5.419       5.763     -0.2921     -0.0523   3.234e-15     0.01143
78                 5.397       5.397       5.748      -0.299    -0.05212   4.829e-15    0.009081
78.2               5.393       5.393       5.734     -0.2924    -0.04816   1.766e-15    0.009125
78.4               5.385       5.385       5.719     -0.2816    -0.05284   2.246e-15    0.004085
78.6               5.375       5.375       5.704     -0.2767    -0.05222   3.625e-15     0.01637
78.8               5.369       5.369        5.69      -0.269    -0.05168   3.644e-15     0.01317
79                 5.352       5.352       5.675     -0.2755    -0.04839   1.198e-15     0.00866
79.2               5.339       5.339       5.661     -0.2769    -0.04491   3.873e-15    0.004387
79.4               5.349       5.349       5.647     -0.2484    -0.04906   4.921e-15     0.01084
79.6               5.322       5.322       5.633     -0.2624    -0.04801    2.93e-15    0.007905
79.8               5.318       5.318       5.619     -0.2556     -0.0449   1.077e-15    0.005119
80                  5.32        5.32       5.605     -0.2448    -0.04017   2.859e-15    0.009364
80.2               5.298       5.298       5.591     -0.2483    -0.04418   4.764e-15    0.009418
80.4               5.301       5.301       5.577     -0.2306     -0.0452   1.738e-15    0.004288
80.6               5.298       5.298       5.563     -0.2204    -0.04405   1.895e-15     0.01317
80.8               5.283       5.283       5.549      -0.221    -0.04468   2.195e-15     0.01244
81                 5.276       5.276       5.535     -0.2212     -0.0384   2.198e-15     0.01285
81.2               5.258       5.258       5.522     -0.2248    -0.03945   3.324e-15     0.01572
81.4                5.27        5.27       5.508        -0.2    -0.03813   2.832e-15     0.01198
81.6               5.255       5.255       5.495     -0.2008     -0.0385   1.996e-15    0.008724
81.8               5.248       5.248       5.481     -0.1931    -0.04015   2.097e-15    0.007554
82                 5.217       5.217       5.468     -0.2147    -0.03624   3.834e-15     0.01197
82.2               5.215       5.215       5.455      -0.204    -0.03579   3.078e-15     0.01117
82.4               5.211       5.211       5.441     -0.1944    -0.03632   1.911e-15    0.006205
82.6               5.211       5.211       5.428     -0.1834    -0.03349   1.685e-15     0.00875
82.8               5.196       5.196       5.415     -0.1832    -0.03614   2.622e-15     0.01366
83                 5.187       5.187       5.402     -0.1794    -0.03549     2.7e-15    0.008973
83.2                5.17        5.17       5.389     -0.1858      -0.033   3.611e-15    0.008659
83.4               5.161       5.161       5.376     -0.1804    -0.03434   3.603e-15     0.01009
83.6               5.158       5.158       5.363     -0.1717    -0.03332   1.105e-15    0.007258
83.8               5.139       5.139        5.35     -0.1761    -0.03504   1.245e-15    0.003514
84                 5.128       5.128       5.338     -0.1776    -0.03206    1.13e-15     0.01141
84.2                5.13        5.13       5.325     -0.1633    -0.03189   1.409e-15    0.007264
84.4                5.12        5.12       5.312     -0.1625    -0.02981   3.618e-15    0.007419
84.6                5.11        5.11         5.3     -0.1592    -0.03058   3.046e-15     0.01635
84.8                 5.1         5.1       5.287     -0.1611    -0.02663   1.974e-15     0.01132
85                  5.08        5.08       5.275     -0.1633    -0.03178   2.202e-15    0.009855
85.2               5.081       5.081       5.262     -0.1536    -0.02775   1.145e-15    0.008737
85.4               5.057       5.057        5.25     -0.1648    -0.02853   1.854e-15     0.01204
85.6                5.07        5.07       5.238     -0.1375    -0.03025    3.55e-15     0.01319
